Actual,Predicted
1.0813149213790894,1.0760869
1.0738831758499146,1.083318
1.0702168941497805,1.0781753
1.0740677118301392,1.0730722
1.0742292404174805,1.0755694
1.0751532316207886,1.0776504
1.0706409215927124,1.0779182
1.0687757730484009,1.0732646
1.0732723474502563,1.0710919
1.0709619522094729,1.0753415
1.068010926246643,1.0741328
1.0708472728729248,1.0707325
1.0735257863998413,1.0728105
1.0737102031707764,1.0761579
1.0748412609100342,1.0766569
1.0793308019638062,1.077504
1.0810693502426147,1.08131
1.082602620124817,1.083997
1.0830950736999512,1.0851984
1.0814785957336426,1.0854017
1.083329677581787,1.0841506
1.0872756242752075,1.0856056
1.0885539054870603,1.0895286
1.0901559591293335,1.0913699
1.0902509689331057,1.092909
1.094020128250122,1.0929669
1.0901559591293335,1.0963767
1.0899182558059692,1.0933553
1.0889805555343628,1.0921038
1.0850694179534912,1.0911334
1.0839520692825315,1.0878907
1.0851283073425293,1.0863056
1.0853756666183472,1.0874853
1.081946611404419,1.0882784
1.081607222557068,1.0852201
1.082391619682312,1.0841627
1.078760266304016,1.0849785
1.0910836458206177,1.0819592
1.0950982570648191,1.0926061
1.0926215648651123,1.0977813
1.0928125381469729,1.095395
1.0915720462799072,1.0948323
1.091381311416626,1.0937089
1.0936251878738403,1.0935522
1.0996986627578735,1.0957848
1.101321578025818,1.1016656
1.0972732305526731,1.1041325
1.1024993658065796,1.1005008
1.1086474657058716,1.1039242
1.112792730331421,1.1099945
1.115536093711853,1.1141798
1.111716389656067,1.1161896
1.118793487548828,1.1131799
1.1164700984954834,1.1191802
1.117793083190918,1.1172152
1.1124955415725708,1.1187295
1.10804545879364,1.1133902
1.1044842004776003,1.1096497
1.1067456007003784,1.1056554
1.1048868894577026,1.1080276
1.10804545879364,1.1070037
1.1111111640930176,1.1099038
1.1087212562561035,1.1123625
1.1037527322769165,1.1106824
1.1020983457565308,1.1057929
1.101091146469116,1.1031946
1.1077877283096311,1.1025773
1.1088441610336304,1.108956
1.1129536628723145,1.1105849
1.1123099327087402,1.114447
1.1114816665649414,1.1134999
1.1161960363388062,1.1127217
1.1160838603973389,1.1163445
1.111172795295715,1.1168352
1.1191190481185913,1.1125349
1.1131023168563845,1.119133
1.117717981338501,1.1143285
1.1169815063476562,1.1187383
1.113660216331482,1.1172944
1.1063904762268066,1.1150346
1.1048502922058103,1.10785
1.103557825088501,1.1057091
1.0974539518356323,1.104881
1.0975743532180786,1.0999159
1.0975743532180786,1.0990347
1.0943313837051392,1.0996523
1.0933860540390017,1.0969269
1.0925379991531372,1.0955102
