Date,Actual,Predicted
2024-05-06,2547.53,2471.676747607767
2024-05-07,2536.99,2548.497337040626
2024-05-08,2550.72,2534.536031735261
2024-05-09,2565.64,2552.30551316671
2024-05-10,2523.05,2564.8216814750654
2024-05-13,2547.1,2524.5330601077885
2024-05-14,2557.21,2548.9652454075144
2024-05-15,2555.32,2555.6035821906926
2024-05-16,2562.83,2556.035421247379
2024-05-17,2574.96,2562.007412684792
2024-05-20,2593.1,2575.3400773259514
2024-05-21,2567.52,2593.2485247976288
2024-05-22,2552.7,2566.8871416190177
2024-05-23,2541.37,2554.22096849392
2024-05-24,2528.8,2541.482856824891
2024-05-27,2530.08,2529.2956806720936
2024-05-28,2505.97,2529.6224237370043
2024-05-29,2463.98,2505.0275248308
2024-05-31,2485.53,2464.292773220383
2024-06-03,2496.92,2486.324066898978
2024-06-04,2433.81,2495.156337970167
2024-06-05,2445.33,2432.8689732690127
2024-06-06,2462.49,2447.037596436486
2024-06-07,2428.84,2460.9513139295723
2024-06-10,2428.58,2428.646612282577
2024-06-11,2402.91,2428.740064335308
2024-06-12,2442.89,2402.0578480333074
2024-06-13,2401.63,2444.6616905485776
2024-06-14,2413.73,2398.2242989840743
2024-06-17,2458.79,2416.4865764277392
2024-06-18,2455.11,2456.6260991404574
2024-06-19,2491.74,2454.773348915028
2024-06-20,2497.82,2492.211083516817
2024-06-21,2489.91,2496.5833057710324
2024-06-24,2542.42,2491.961820686003
2024-06-25,2547.21,2542.9907659353576
2024-06-26,2541.43,2546.0133223095236
2024-06-27,2547.78,2543.0080129803428
2024-06-28,2561.27,2547.8489174631013
2024-07-01,2553.09,2562.4260927112614
2024-07-02,2528.44,2552.8654987389923
2024-07-03,2543.64,2528.8703452291534
2024-07-04,2549.11,2544.590099329806
2024-07-05,2518.89,2548.181271422221
2024-07-08,2539.4,2518.799402049346
2024-07-09,2543.85,2540.1352049108004
2024-07-10,2521.39,2542.5347432645326
2024-07-11,2547.69,2521.963440648077
2024-07-12,2566.19,2547.9427202968923
2024-07-15,2569.86,2565.066714605032
2024-07-16,2485.93,2570.146919840061
2024-07-17,2454.63,2485.34433343163
2024-07-18,2496.44,2458.694814760117
2024-07-19,2476.38,2495.9599485393665
2024-07-22,2481.28,2473.7204395391595
2024-07-23,2445.06,2481.107867011536
2024-07-24,2431.72,2443.1111348555464
2024-07-25,2415.63,2434.6100331661805
2024-07-26,2407.15,2414.394392233585
2024-07-29,2419.12,2407.5368672216596
2024-07-30,2384.77,2417.962158395419
2024-07-31,2421.49,2383.455453939957
2024-08-01,2374.62,2422.9269960320116
2024-08-02,2339.16,2371.706484889078
2024-08-05,2266.27,2342.4821487902
2024-08-06,2237.76,2264.856903232091
2024-08-07,2236.35,2240.4201585124324
2024-08-08,2264.1,2233.7632098619665
2024-08-09,2258.52,2262.481829516306
2024-08-12,2335.65,2255.1959872070347
2024-08-13,2330.32,2336.3709217347578
2024-08-14,2344.14,2327.1912027773583
2024-08-16,2421.06,2347.3738613247674
2024-08-19,2426.89,2420.60133607497
2024-08-20,2383.43,2426.733043420685
2024-08-21,2401.57,2385.196054385468
2024-08-22,2400.05,2403.8087179662084
2024-08-23,2401.25,2399.9389546828893
2024-08-26,2395.38,2402.108832437286
2024-08-27,2396.22,2394.0958791704024
2024-08-28,2383.94,2396.9614105879823
2024-08-29,2403.14,2383.602877895435
2024-08-30,2412.16,2403.787207955405
2024-09-02,2456.07,2410.935091339918
2024-09-03,2409.5,2456.6531822818633
2024-09-04,2403.12,2407.5536685415655
2024-09-05,2371.94,2406.7135130568745
2024-09-06,2318.2,2370.786607151714
2024-09-09,2330.89,2320.010114857624
2024-09-10,2307.54,2330.8086085064224
2024-09-11,2262.33,2305.1224342977225
2024-09-12,2294.32,2262.5970048482595
2024-09-13,2336.62,2293.9851531184527
2024-09-16,2294.76,2334.5364573600614
2024-09-17,2334.86,2293.498620567505
2024-09-18,2326.69,2336.94866766625
2024-09-19,2326.8,2324.3274557195955
2024-09-20,2279.98,2329.622474938647
2024-09-23,2286.81,2278.4924420832194
2024-09-24,2337.49,2289.4951248359985
2024-09-25,2346.26,2335.6863943738313
2024-09-26,2366.47,2344.6592860136425
2024-09-27,2382.95,2366.7975771493966
2024-09-30,2324.13,2382.595677392719
2024-10-01,2315.86,2325.0316134215714
2024-10-02,2317.7,2318.758097074037
2024-10-03,2280.66,2316.4636472792913
2024-10-04,2291.53,2280.7601909183886
2024-10-07,2291.51,2291.7991000671395
2024-10-08,2284.75,2289.6284352936736
2024-10-09,2321.28,2285.31408809783
2024-10-10,2308.16,2320.810476000288
2024-10-11,2333.75,2306.711829963022
2024-10-14,2327.5,2335.6447020074806
2024-10-15,2322.68,2325.699791117466
2024-10-16,2341.0,2324.682508991953
2024-10-17,2283.98,2340.584602420873
2024-10-18,2303.33,2283.580514183988
2024-10-21,2278.75,2306.0477341978653
2024-10-22,2250.38,2275.7853395101615
2024-10-23,2256.21,2252.725909290392
2024-10-24,2245.55,2254.9103757045655
2024-10-25,2245.25,2244.9423733853337
2024-10-28,2245.79,2245.4521146714674
2024-10-29,2284.76,2244.6950204295754
2024-10-30,2230.54,2285.0383711508025
2024-10-31,2205.47,2228.798617403201
2024-11-04,2252.86,2208.8139860867373
2024-11-05,2236.48,2251.7008807180227
2024-11-06,2241.24,2235.0075392926
2024-11-07,2310.43,2242.4915946771334
2024-11-08,2298.3,2308.7784101995853
2024-11-12,2255.73,2296.9404929050465
2024-11-13,2232.69,2258.4374022899497
2024-11-14,2247.93,2233.466150556163
2024-11-15,2188.75,2248.8685964622086
2024-11-18,2184.7,2187.2664477884678
2024-11-19,2123.35,2187.0066871058125
2024-11-20,2144.68,2120.620527349535
2024-11-21,2178.03,2147.5149756712003
2024-11-22,2194.06,2173.775020748008
2024-11-25,2202.76,2193.9100710829543
2024-11-26,2199.85,2202.0169492692607
2024-11-27,2186.69,2200.2697275437786
2024-11-28,2187.08,2187.629969575256
2024-11-29,2191.12,2187.7294303649483
2024-12-02,2247.36,2190.822484594439
2024-12-03,2240.58,2247.334734744096
2024-12-04,2268.14,2238.2765278587553
2024-12-05,2310.78,2270.4250970135176
2024-12-06,2310.0,2309.2099861725032
2024-12-09,2315.74,2310.5575917258184
2024-12-10,2317.3,2317.0330577597256
2024-12-11,2296.1,2317.2807596918065
2024-12-12,2276.69,2297.052203007423
2024-12-13,2273.12,2277.454169403493
2024-12-16,2270.66,2273.152877803669
2024-12-17,2211.89,2270.2644124935523
2024-12-18,2226.58,2211.4698747528832
2024-12-19,2225.51,2228.3889978647294
2024-12-20,2200.39,2222.6798343723335
2024-12-23,2202.17,2201.348069840014
2024-12-27,2204.19,2201.8683744751124
2024-12-30,2192.01,2203.437787327212
2025-01-02,2227.13,2192.15012140551
2025-01-03,2237.57,2227.2344223269033
2025-01-07,2257.67,2235.800047920414
2025-01-08,2229.48,2258.803869276255
2025-01-09,2247.94,2228.5931226440093
2025-01-10,2257.16,2250.3447341246765
2025-01-13,2221.3,2255.4456196796805
2025-01-14,2238.04,2222.2159202641487
2025-01-15,2285.51,2239.0999800424474
2025-01-16,2278.58,2283.765424541335
2025-01-17,2307.26,2277.824608687769
2025-01-20,2324.8,2308.651715880476
2025-01-21,2332.87,2323.372828350134
2025-01-22,2362.75,2334.249332341116
2025-01-23,2363.24,2362.8468851842763
2025-01-24,2378.78,2362.834981618844
2025-01-27,2376.4,2380.2580977394023
2025-01-28,2399.02,2375.76074970802
2025-01-29,2398.68,2400.318690983605
2025-01-30,2441.23,2397.6416232846705
2025-01-31,2433.77,2442.511851533357
2025-02-03,2390.37,2431.9968900661424
2025-02-04,2414.96,2392.73686447638
2025-02-05,2394.72,2415.989399215156
2025-02-06,2460.45,2392.8863176623668
2025-02-07,2488.16,2462.319985120992
2025-02-10,2507.54,2483.8718800248575
2025-02-11,2535.24,2509.809590565317
2025-02-12,2568.72,2534.735405300608
2025-02-13,2594.92,2569.691238518935
2025-02-14,2575.77,2595.3942349598105
2025-02-17,2596.79,2576.3799766547645
2025-02-18,2671.05,2598.9075218082885
2025-02-19,2634.88,2670.259251123972
2025-02-20,2613.76,2633.7450786726113
2025-02-21,2618.17,2617.679167481809
2025-02-24,2555.74,2617.4146130208774
2025-02-25,2572.05,2556.3654259106743
2025-02-26,2620.35,2573.934740083474
2025-02-27,2590.06,2616.6267478798422
2025-02-28,2579.52,2589.609020505787
2025-03-03,2601.65,2581.3954093948455
2025-03-04,2499.54,2600.6059168293345
2025-03-05,2591.79,2499.492618834521
2025-03-06,2638.92,2595.5703817739927
2025-03-07,2642.59,2629.9186760747093
2025-03-10,2589.87,2646.7439166965855
2025-03-11,2584.04,2589.0059280652154
2025-03-12,2626.79,2587.6751800441225
2025-03-13,2683.05,2625.627502050823
2025-03-14,2754.38,2681.4969974323562
2025-03-17,2777.61,2752.7643664142574
2025-03-18,2799.02,2776.601375730481
2025-03-19,2779.33,2801.5618178546238
2025-03-20,2753.23,2779.8791084571026
2025-03-21,2725.07,2756.0587295379296
2025-03-24,2767.76,2725.3994852797377
2025-03-25,2800.29,2768.53889371199
2025-03-26,2769.17,2797.4694283227027
2025-03-27,2780.04,2769.338045370061
2025-03-28,2747.7,2781.490452609375
2025-03-31,2689.05,2746.4771648512506
2025-04-01,2735.15,2691.748423426216
2025-04-02,2747.99,2735.4110810883703
2025-04-03,2635.76,2744.426272044618
2025-04-04,2467.99,2637.2879734116145
2025-04-07,2431.32,2470.0263040907485
2025-04-08,2507.84,2434.361175983997
2025-04-09,2433.75,2505.787833660665
2025-04-10,2553.57,2425.7402134701515
2025-04-11,2529.25,2557.781986829945
2025-04-14,2608.21,2519.5044078097267
2025-04-15,2618.49,2615.617542381293
2025-04-16,2615.84,2612.1421571011065
2025-04-17,2643.52,2620.7320113420633
