Actual,Predicted
2815.6600000000003,2809.9856
2845.37,2796.1553
2826.5,2833.694
2839.82,2805.8137
2887.1700000000005,2826.167
2864.98,2865.5796
2861.78,2835.0515
2889.54,2841.7356
2897.67,2865.0442
2850.58,2867.2363
2860.93,2821.6184
2879.77,2842.4358
2870.5300000000007,2852.3865
2868.56,2842.2769
2905.75,2844.4026
2964.25,2880.5146
2949.94,2930.5293
2929.23,2907.5095
2946.6199999999994,2896.415
2968.34,2913.6992
2962.94,2928.2324
2906.6,2919.764
2950.95,2866.418
2982.18,2922.9502
2950.42,2935.6792
2884.84,2905.1157
2880.23,2849.2373
2865.63,2855.1855
2932.5800000000004,2834.0146
2985.33,2906.727
3022.19,2942.471
2994.43,2977.348
3014.18,2944.8074
2997.03,2974.3555
2949.71,2944.7456
2962.09,2904.635
2993.07,2924.3254
2982.29,2946.4082
3020.22,2931.8245
2880.5499999999997,2976.6514
2905.6400000000003,2824.6257
2907.5299999999997,2890.4895
2856.56,2864.9697
2828.32,2824.2222
2793.76,2806.3225
2770.36,2773.094
2774.0500000000006,2756.1184
2786.15,2762.0837
2828.22,2773.0
2805.02,2814.805
2862.51,2785.6438
2836.41,2852.8965
2811.48,2810.2478
2855.75,2798.7485
2836.58,2841.45
2866.16,2810.3142
2819.5400000000004,2849.8176
2813.42,2792.4978
2809.46,2801.1482
2802.69,2790.8013
2802.03,2786.1643
2819.1,2786.5244
2828.82,2803.6401
2797.79,2810.431
2832.26,2780.0522
2832.0100000000007,2821.5361
2827.17,2809.7588
2850.4200000000005,2810.4133
2861.62,2832.9116
2862.96,2838.6033
2838.1,2840.3298
2868.67,2815.4863
2877.9900000000002,2850.946
2874.3,2849.8037
2873.04,2848.915
2875.17,2848.2212
2844.05,2849.9158
2901.08,2817.99
2887.16,2882.0452
2872.02,2851.1338
2916.6099999999997,2848.23
2912.05,2891.7375
2958.78,2875.8838
2984.6699999999996,2929.6772
2981.19,2941.4216
2980.91,2938.223
3041.52,2939.246
3038.56,2997.6523
3029.29,2978.0122
2987.33,2977.487
3005.61,2933.4663
2978.38,2961.729
2977.25,2923.0537
3006.58,2933.9783
2970.6100000000006,2958.913
3019.2899999999995,2917.59
3023.24,2980.0608
3016.1600000000003,2965.2473
2990.37,2966.3599
2956.16,2939.6858
2903.1000000000004,2911.1667
2956.75,2862.4314
2958.02,2926.0117
2921.0800000000004,2908.6736
2924.11,2882.2297
2966.9,2892.514
3003.61,2930.6033
2992.78,2958.7598
3001.9599999999996,2944.467
3007.41,2959.5615
2967.35,2958.8975
2945.82,2918.363
2959.44,2906.3135
2950.3,2919.2036
2954.0,2905.5605
3010.46,2914.6492
3021.37,2968.931
3062.0,2967.2214
3079.15,3012.8398
3137.07,3017.5774
3103.28,3075.7166
3105.78,3024.3938
3115.36,3043.6458
3146.48,3042.3796
3173.5099999999998,3072.7842
3155.5699999999997,3090.481
3164.93,3068.795
3184.02,3085.6692
