Date,Actual,Predicted
2024-05-12 15:00:00,38179.4609375,38299.642976676805
2024-05-13 15:00:00,38356.05859375,38148.055061832594
2024-05-14 15:00:00,38385.73046875,38449.15776861131
2024-05-15 15:00:00,38920.26171875,38420.46806096831
2024-05-16 15:00:00,38787.37890625,39273.30142200976
2024-05-19 15:00:00,39069.6796875,38722.93221901038
2024-05-20 15:00:00,38946.9296875,39342.5761736182
2024-05-21 15:00:00,38617.1015625,38884.22953936049
2024-05-22 15:00:00,39103.21875,38463.43754369414
2024-05-23 15:00:00,38646.109375,39369.588250751665
2024-05-26 15:00:00,38900.01953125,38387.02532918921
2024-05-27 15:00:00,38855.37109375,39030.979723485776
2024-05-28 15:00:00,38556.87109375,38819.623092747526
2024-05-29 15:00:00,38054.12890625,38419.63560025749
2024-05-30 15:00:00,38487.8984375,37649.91957976567
2024-06-02 15:00:00,38923.03125,38732.159820520406
2024-06-03 15:00:00,38837.4609375,39167.30524900403
2024-06-04 15:00:00,38490.171875,38778.68728848463
2024-06-05 15:00:00,38703.51171875,38303.87930914607
2024-06-06 15:00:00,38683.9296875,38932.05942457736
2024-06-09 15:00:00,39038.16015625,38660.99649537498
2024-06-10 15:00:00,39134.7890625,39253.4197798179
2024-06-11 15:00:00,38876.7109375,39251.23798314531
2024-06-12 15:00:00,38720.46875,38652.555286801755
2024-06-13 15:00:00,38814.55859375,38525.59603055504
2024-06-16 15:00:00,38102.44140625,38927.769533943116
2024-06-17 15:00:00,38482.109375,37523.6115525897
2024-06-18 15:00:00,38570.76171875,38750.58785921762
2024-06-19 15:00:00,38633.01953125,38676.99295738082
2024-06-20 15:00:00,38596.46875,38706.39243273374
2024-06-23 15:00:00,38804.6484375,38553.72796154194
2024-06-24 15:00:00,39173.1484375,39054.16970031403
2024-06-25 15:00:00,39667.0703125,39447.1174500551
2024-06-26 15:00:00,39341.5390625,40150.526591200585
2024-06-27 15:00:00,39583.078125,39097.20227592715
2024-06-30 15:00:00,39631.05859375,39869.28281121215
2024-07-01 15:00:00,40074.69140625,39700.339925071516
2024-07-02 15:00:00,40580.76171875,40455.10793324894
2024-07-03 15:00:00,40913.6484375,41024.43978287972
2024-07-04 15:00:00,40912.37109375,41377.65784623684
2024-07-07 15:00:00,40780.69921875,40910.50548684383
2024-07-08 15:00:00,41580.171875,40582.56524581018
2024-07-09 15:00:00,41831.98828125,42383.99587941639
2024-07-10 15:00:00,42224.01953125,42190.829469710436
2024-07-11 15:00:00,41190.6796875,42662.08976113931
2024-07-15 15:00:00,41275.078125,40117.133883374605
2024-07-16 15:00:00,41097.69140625,41377.70696149954
2024-07-17 15:00:00,40126.3515625,40913.7212140807
2024-07-18 15:00:00,40063.7890625,39190.322046140114
2024-07-21 15:00:00,39599.0,39990.35802724789
2024-07-22 15:00:00,39594.390625,39067.28891721297
2024-07-23 15:00:00,39154.8515625,39588.52920907247
2024-07-24 15:00:00,37869.51171875,38606.09932532124
2024-07-25 15:00:00,37667.41015625,37031.87395238695
2024-07-28 15:00:00,38468.62890625,37389.80065196443
2024-07-29 15:00:00,38525.94921875,38867.52261251198
2024-07-30 15:00:00,39101.8203125,38568.19240616336
2024-07-31 15:00:00,38126.328125,39307.290746117986
2024-08-01 15:00:00,35909.69921875,37411.00792032301
2024-08-04 15:00:00,31458.419921875,35669.22929952973
2024-08-05 15:00:00,34675.4609375,31226.080641509165
2024-08-06 15:00:00,35089.62109375,34675.461191669594
2024-08-07 15:00:00,34831.1484375,35089.51372344944
2024-08-08 15:00:00,35025.0,34495.410729439136
2024-08-12 15:00:00,36232.51171875,35047.647459076274
2024-08-13 15:00:00,36442.4296875,36480.91996234631
2024-08-14 15:00:00,36726.640625,36721.013868156835
2024-08-15 15:00:00,38062.671875,37096.061306864576
2024-08-18 15:00:00,37388.62109375,38257.46411876419
2024-08-19 15:00:00,38062.921875,37388.611174558064
2024-08-20 15:00:00,37951.80078125,38363.90453627345
2024-08-21 15:00:00,38211.01171875,37966.516874246634
2024-08-22 15:00:00,38364.26953125,38555.599108361646
2024-08-25 15:00:00,38110.21875,38470.75821938934
2024-08-26 15:00:00,38288.62109375,38101.379936005804
2024-08-27 15:00:00,38371.76171875,38392.68597435674
2024-08-28 15:00:00,38362.53125,38466.84826658746
2024-08-29 15:00:00,38647.75,38372.90088524393
2024-09-01 15:00:00,38700.87109375,38753.04495761845
2024-09-02 15:00:00,38686.30859375,38784.42926218849
2024-09-03 15:00:00,37047.609375,38712.46444357061
2024-09-04 15:00:00,36657.08984375,37014.14187648356
2024-09-05 15:00:00,36391.46875,36258.05813358947
2024-09-08 15:00:00,36215.75,36045.38116986986
2024-09-09 15:00:00,36159.16015625,35989.877607190174
2024-09-10 15:00:00,35619.76953125,36070.190794241375
2024-09-11 15:00:00,36833.26953125,35268.27394477544
2024-09-12 15:00:00,36581.76171875,36835.338000890726
2024-09-16 15:00:00,36203.21875,36543.767894799945
2024-09-17 15:00:00,36380.171875,36153.39886771228
2024-09-18 15:00:00,37155.328125,36489.223100366515
2024-09-19 15:00:00,37723.91015625,37512.39509228746
2024-09-23 15:00:00,37940.58984375,37975.0231898157
2024-09-24 15:00:00,37870.26171875,38239.365531164935
2024-09-25 15:00:00,38925.62890625,37881.21361966946
2024-09-26 15:00:00,39829.55859375,39356.54495406198
2024-09-29 15:00:00,37919.55078125,40249.19027455859
2024-09-30 15:00:00,38651.96875,37888.2761276588
2024-10-01 15:00:00,37808.76171875,38912.27635732801
2024-10-02 15:00:00,38552.05859375,37639.63237758234
2024-10-03 15:00:00,38635.62109375,38616.98699591205
2024-10-06 15:00:00,39332.73828125,38616.68470059424
2024-10-07 15:00:00,38937.5390625,39703.636729681304
2024-10-08 15:00:00,39277.9609375,38905.1736499472
2024-10-09 15:00:00,39380.890625,39672.67998474505
2024-10-10 15:00:00,39605.80078125,39534.868899369816
2024-10-14 15:00:00,39910.55078125,39864.35787004461
2024-10-15 15:00:00,39180.30078125,40070.44731547496
2024-10-16 15:00:00,38911.19140625,39128.14367675195
2024-10-17 15:00:00,38981.75,38784.848403146745
2024-10-20 15:00:00,38954.6015625,38982.00097210027
2024-10-21 15:00:00,38411.9609375,38886.248947625
2024-10-22 15:00:00,38104.859375,38025.45529166731
2024-10-23 15:00:00,38143.2890625,37820.27576987942
2024-10-24 15:00:00,37913.921875,38112.492123955475
2024-10-27 15:00:00,38605.53125,37633.20374774073
2024-10-28 15:00:00,38903.6796875,38659.89253601573
2024-10-29 15:00:00,39277.390625,39063.460487861834
2024-10-30 15:00:00,39081.25,39611.74620294518
2024-10-31 15:00:00,38053.671875,39037.80570945398
2024-11-04 15:00:00,38474.8984375,37857.61256562387
2024-11-05 15:00:00,39480.671875,38534.80128266038
2024-11-06 15:00:00,39381.41015625,39680.26244928621
2024-11-07 15:00:00,39500.37109375,39348.20835088307
2024-11-10 15:00:00,39533.3203125,39622.41067501813
2024-11-11 15:00:00,39376.08984375,39610.845236077104
2024-11-12 15:00:00,38721.66015625,39348.27249361055
2024-11-13 15:00:00,38535.69921875,38438.019859797154
2024-11-14 15:00:00,38642.91015625,38300.244692176566
2024-11-17 15:00:00,38220.8515625,38715.968489953804
2024-11-18 15:00:00,38414.4296875,37766.537402205024
2024-11-19 15:00:00,38352.33984375,38541.557093799514
2024-11-20 15:00:00,38026.171875,38278.78914986107
2024-11-21 15:00:00,38283.8515625,37827.13515117436
2024-11-24 15:00:00,38780.140625,38437.93346075195
2024-11-25 15:00:00,38442.0,39134.73806388327
2024-11-26 15:00:00,38134.96875,38275.09718341841
2024-11-27 15:00:00,38349.05859375,37979.60607060676
2024-11-28 15:00:00,38208.03125,38516.89036707319
2024-12-01 15:00:00,38513.01953125,38097.81524129928
2024-12-02 15:00:00,39248.859375,38678.27027976593
2024-12-03 15:00:00,39276.390625,39713.55774013256
2024-12-04 15:00:00,39395.6015625,39320.03013293723
2024-12-05 15:00:00,39091.171875,39584.91756751367
