Actual,Predicted,TCN_trend,TCN_volatility,TCN_momentum
1.0813149213790894,1.0740157763614422,2.4234796,2.9085212,-0.5400374
1.0738831758499146,1.0813062484871956,2.4060671,2.914375,-0.46521026
1.0702168941497805,1.0738697379725164,2.437904,2.893674,-0.5070407
1.0740677118301392,1.0701963610965661,2.4459317,2.9057908,-0.5716949
1.0742292404174805,1.0740510972268813,2.4248207,2.9083157,-0.5349835
1.0751532316207886,1.0742151460283547,2.430128,2.8970265,-0.5124465
1.0706409215927124,1.0751401043140485,2.4316711,2.9000614,-0.5041133
1.0687757730484009,1.070623148488381,2.4441512,2.8959296,-0.54694855
1.0732723474502563,1.068754662760767,2.4446993,2.8993907,-0.5772805
1.0709619522094729,1.0732560592332234,2.428538,2.902498,-0.5323741
1.068010926246643,1.0709453099460748,2.442327,2.8911228,-0.53634846
1.0708472728729248,1.0679901919475199,2.4511225,2.8955708,-0.57493675
1.0735257863998413,1.0708288300883437,2.4372096,2.899792,-0.55278766
1.0737102031707764,1.0735109893090926,2.4320335,2.8963537,-0.5188804
1.0748412609100342,1.073696246602651,2.4369302,2.8950849,-0.5116691
1.0793308019638062,1.074827903252273,2.4327128,2.8992777,-0.5061984
1.0810693502426147,1.0793218188080878,2.4187598,2.9050124,-0.46803215
1.082602620124817,1.0810627669748216,2.4161496,2.904632,-0.4485783
1.0830950736999512,1.082597683497946,2.4141695,2.9075756,-0.43590072
1.0814785957336426,1.0830901985789738,2.411285,2.9097886,-0.4353945
1.083329677581787,1.0814710721306497,2.414472,2.9103198,-0.45592052
1.0872756242752075,1.0833235061755733,2.4053974,2.914696,-0.44514364
1.0885539054870603,1.0872749005913838,2.3956885,2.916984,-0.40578645
1.0901559591293335,1.0885549314098883,2.395766,2.9180324,-0.39216268
1.0902509689331057,1.0901580901041297,2.392228,2.9208484,-0.37940454
1.094020128250122,1.0902531926182384,2.3912597,2.9212701,-0.37947214
1.0901559591293335,1.0940252798612597,2.377473,2.9288363,-0.35405606
1.0899182558059692,1.0901580900063212,2.3922296,2.9208484,-0.37940335
1.0889805555343628,1.0899186649189332,2.390109,2.9280922,-0.39832819
1.0850694179534912,1.0889801643396482,2.3893664,2.9249983,-0.40356955
1.0839520692825315,1.0850642508402262,2.4016318,2.920761,-0.43742046
1.0851283073425293,1.0839449332870152,2.4022956,2.9207773,-0.45248944
1.0853756666183472,1.085123481270371,2.3969865,2.918643,-0.43479925
1.081946611404419,1.0853725476787823,2.4006255,2.915161,-0.42240813
1.081607222557068,1.0819390224879302,2.412421,2.9132233,-0.45639825
1.082391619682312,1.0815982129812367,2.4101892,2.9156663,-0.46772212
1.078760266304016,1.082384244142151,2.405962,2.913649,-0.45455575
1.0910836458206177,1.0787496386695323,2.420123,2.9080892,-0.48171037
1.0950982570648191,1.091084893097751,2.378539,2.933988,-0.39293075
1.0926215648651123,1.0951036143605695,2.3779013,2.9363322,-0.34897038
1.0928125381469729,1.0926247197717842,2.3970714,2.9249299,-0.3527995
1.0915720462799072,1.0928157497444169,2.387737,2.9322515,-0.3684665
1.091381311416626,1.0915750364348056,2.383575,2.9279733,-0.37982288
1.0936251878738403,1.0913842658089357,2.3833957,2.9274776,-0.3807223
1.0996986627578735,1.0936301694663468,2.3759515,2.929137,-0.3600543
1.101321578025818,1.0997080967867088,2.3615832,2.9393349,-0.31039697
1.0972732305526731,1.101331940823483,2.3606722,2.9407752,-0.2945134
1.1024993658065796,1.0972801995903851,2.3757854,2.9340384,-0.32380944
1.1086474657058716,1.102510964270967,2.3526008,2.9455147,-0.29194105
1.112792730331421,1.1086641867226823,2.3348732,2.9554107,-0.24244246
1.115536093711853,1.1128118420992683,2.3295057,2.9655454,-0.20833866
1.111716389656067,1.115557800168476,2.3209617,2.9684606,-0.18599166
1.118793487548828,1.1117346025904296,2.3334322,2.9609761,-0.21417549
1.1164700984954834,1.1188189104559958,2.3078785,2.9735284,-0.16234489
1.117793083190918,1.1164930597033995,2.3154955,2.9712825,-0.18130046
1.1124955415725708,1.117816998236534,2.3134065,2.9730349,-0.16949522
1.10804545879364,1.112514795679297,2.3281484,2.9630373,-0.21202421
1.1044842004776003,1.1080612403898435,2.3369474,2.9591613,-0.2542699
1.1067456007003784,1.1044972273361329,2.3439386,2.9547105,-0.28852138
1.1048868894577026,1.1067608820335681,2.338351,2.9533112,-0.260883
1.10804545879364,1.1049006710963094,2.344584,2.9480124,-0.27195454
1.1111111640930176,1.1080616915589407,2.3364773,2.9543998,-0.24721393
1.1087212562561035,1.1111297097401025,2.329095,2.9612193,-0.22363517
1.1037527322769165,1.108736972824148,2.3411248,2.958902,-0.24030201
1.1020983457565308,1.103764677560951,2.352157,2.950094,-0.2861079
1.101091146469116,1.1021094966058917,2.3499587,2.9498804,-0.30823582
1.1077877283096311,1.1011019179182011,2.3525863,2.9449484,-0.30819997
1.1088441610336304,1.1078035887559488,2.3375275,2.9558551,-0.25083825
1.1129536628723145,1.1088606592203125,2.336571,2.9570925,-0.24049306
1.1123099327087402,1.112973086572329,2.3279662,2.9656239,-0.20760709
1.1114816665649414,1.1123290663592484,2.3291943,2.9614532,-0.21073017
1.1161960363388062,1.111500221713152,2.3303287,2.9611354,-0.21878192
1.1160838603973389,1.116219107044457,2.3148715,2.9688811,-0.18287118
1.111172795295715,1.1161061624520918,2.3175027,2.9733353,-0.18580157
1.1191190481185913,1.111190598329677,2.3335524,2.9625769,-0.2221838
1.1131023168563845,1.119145027406237,2.3059766,2.9730341,-0.15992558
1.117717981338501,1.1131221404764133,2.3267648,2.9631019,-0.20486046
