Actual,Predicted
18498.380859375,18426.523323039208
18686.599609375,18503.714625607678
18772.849609375,18689.561099116574
18742.220703125,18779.837871247346
18716.419921875,18751.83988516563
18869.359375,18718.336905972265
18738.810546875,18869.519035733443
18704.419921875,18746.020806898712
18768.9609375,18703.195514508596
18726.759765625,18765.001640877745
18680.19921875,18731.586273179495
18691.3203125,18678.31995328801
18693.369140625,18688.905761534166
18774.7109375,18694.293887227104
18677.869140625,18772.646262151102
18473.2890625,18680.55046910946
18496.7890625,18475.865816617188
18497.939453125,18490.739653590867
18608.16015625,18497.70543886018
18405.640625,18604.700869459462
18575.939453125,18407.626130260465
18652.669921875,18569.886031617723
18557.26953125,18652.83667788827
18494.890625,18564.795100851687
18369.939453125,18490.982820759466
18630.859375,18373.15809523056
18265.6796875,18624.116663591256
18002.01953125,18275.682595203158
18068.2109375,18000.833200277408
18131.970703125,18054.84777412524
18067.91015625,18133.76669285252
18254.1796875,18063.322068956364
18163.51953125,18245.179555567116
18325.580078125,18169.69517078768
18177.619140625,18323.811141874023
18155.240234375,18182.084541023225
18210.55078125,18157.851938601736
18235.44921875,18205.690150799288
18290.66015625,18238.792364606037
18164.060546875,18287.797998012145
18374.529296875,18167.70365067867
18450.48046875,18369.21521270124
18475.44921875,18452.486332100158
18472.05078125,18479.866175831325
18236.189453125,18471.33120548378
18407.220703125,18245.547393808094
18534.560546875,18400.220268951696
18748.1796875,18533.325719817723
18590.890625,18748.019328099857
18518.029296875,18595.058132559425
18437.30078125,18522.228654683608
18354.759765625,18438.97764470518
18171.9296875,18358.48309847951
18407.0703125,18169.752135585866
18557.69921875,18396.08468210265
18387.4609375,18556.11273413047
18298.720703125,18394.3418384541
18417.55078125,18295.313786099498
18320.669921875,18416.707717956328
18411.1796875,18326.66487575803
18508.650390625,18405.1662666624
18083.05078125,18505.830059350486
17661.220703125,18097.278345265222
17339.0,17660.64444983442
17354.3203125,17333.366326632076
17615.150390625,17345.490457078624
17680.400390625,17601.344518895807
17722.880859375,17676.903838129343
17726.470703125,17719.019825288473
17812.05078125,17727.255508075876
17885.599609375,17815.899065053567
18183.240234375,17887.28682551234
18322.400390625,18181.708454772786
18421.689453125,18326.658078503984
18357.51953125,18426.773234431876
18448.94921875,18362.191066328443
18493.390625,18452.788353550604
18633.099609375,18496.794519595966
18617.01953125,18634.78819882032
18681.810546875,18618.946488055448
18782.2890625,18683.36701310283
18912.5703125,18782.912383844243
18906.919921875,18916.193947448908
18930.849609375,18909.986130198744
18747.109375,18932.622908229307
18591.849609375,18751.95731755553
18576.5,18592.887277326572
18301.900390625,18572.17811554009
18443.560546875,18304.617404833043
18265.919921875,18432.365026162297
18330.26953125,18266.3322658497
18518.390625,18326.474976477883
18699.400390625,18509.967673748233
18633.109375,18704.578088318092
18726.080078125,18635.6444604028
18711.490234375,18725.597946578357
19002.380859375,18716.51473059334
18720.009765625,19002.330295603653
18846.7890625,18729.389309407576
18996.630859375,18841.903161257473
18918.5,18994.84338132901
19238.359375,18929.595498360733
19473.630859375,19226.59094445798
19324.9296875,19478.913255343552
19213.140625,19338.14207087506
19164.75,19211.641281555134
19015.41015625,19167.43769467208
19120.9296875,19020.20435844939
19104.099609375,19113.358063102834
19066.470703125,19103.472573692656
19254.9296875,19067.092489359653
19210.900390625,19248.062658664032
19373.830078125,19217.249420980355
19508.2890625,19371.805650073882
19486.189453125,19508.05721283406
19432.810546875,19494.574520467922
19583.390625,19432.94938899612
19657.369140625,19582.29944378278
19461.189453125,19661.533463819203
19421.91015625,19466.907817353953
19377.619140625,19417.732156550534
19443.0,19378.137047473363
19463.58984375,19442.629024227008
19531.619140625,19460.784976973657
