Actual,Predicted,TCN_trend,TCN_volatility,TCN_momentum
5487.02978515625,5535.661883370877,2.9259,2.8765476,1.803159
5473.169921875,5549.632963361869,2.9227107,2.8838303,1.8027989
5464.6201171875,5535.156669637175,2.925422,2.8952188,1.7906866
5447.8701171875,5526.601127700517,2.926989,2.8989549,1.7978679
5469.2998046875,5509.4814899235525,2.925631,2.9059017,1.7968022
5477.89990234375,5531.949945233554,2.9254193,2.8816583,1.8174666
5482.8701171875,5541.044127766565,2.9262438,2.872995,1.8302804
5460.47998046875,5546.3439093401375,2.9320238,2.8662515,1.8395058
5475.08984375,5523.6539003593025,2.932428,2.8805711,1.8487347
5509.009765625,5538.643169688618,2.9329195,2.863909,1.8491352
5537.02001953125,5573.148346748641,2.927991,2.8669965,1.8498709
5567.18994140625,5601.9943903079675,2.9299946,2.8553314,1.8631561
5572.85009765625,5633.026341406728,2.9354806,2.8563616,1.8805876
5576.97998046875,5639.060318062378,2.9377236,2.8616328,1.8971289
5633.91015625,5642.969827582868,2.9366589,2.8718827,1.8849946
5584.5400390625,5701.390972775417,2.9365492,2.8564968,1.9057658
5615.35009765625,5650.427147826522,2.9321196,2.8960097,1.881885
5631.22021484375,5682.361207004725,2.941154,2.8621135,1.8999844
5667.2001953125,5698.908603542238,2.9366193,2.8769138,1.9280348
5588.27001953125,5736.038431979003,2.9423013,2.8365078,1.9438372
5544.58984375,5654.990306518261,2.9394627,2.8968253,1.9242735
5505.0,5610.475940917313,2.946112,2.8773527,1.9128659
5564.41015625,5569.430969948886,2.932891,2.9176779,1.887702
5555.740234375,5631.080609233724,2.9360135,2.8342705,1.9229183
5427.1298828125,5622.01510506532,2.9330878,2.8605497,1.9176462
5399.22021484375,5490.938238220449,2.9450037,2.8723142,1.9112209
5459.10009765625,5462.037210304956,2.9416108,2.8813262,1.886126
5463.5400390625,5523.548446002868,2.9296136,2.8428535,1.9051008
5436.43994140625,5526.977018843221,2.9192772,2.8614614,1.8525369
5522.2998046875,5499.99524802162,2.9367712,2.8444037,1.877872
5446.68017578125,5588.299171325857,2.9432912,2.8149586,1.9218578
5346.56005859375,5510.389928663058,2.9300213,2.882702,1.8898027
5186.330078125,5406.972459248666,2.9331906,2.894579,1.8162092
5240.02978515625,5239.11636026768,2.9123666,3.0002103,1.6825795
5199.5,5295.516037353037,2.9093919,2.905202,1.6942768
5319.31005859375,5254.1023189478765,2.882896,2.9321527,1.6975697
5344.16015625,5379.220683592466,2.9246366,2.7758932,1.7813177
5344.39013671875,5405.030337152604,2.9217834,2.8502347,1.824945
